Experiment,Citation,Depth (cm),Sample date,Time (years),ambient CO2,increased CO2,ambient CO2.1,increased CO2.1,Description of data source,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
,Hungate et al. unpublished,0-15 ,2006,8.0,2427.86,2173.41,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Burn,Hungate et al. unpublished,0-15 ,2000,2.0,2295.96,2496.82,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2544.48,2268.83,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - N,Hungate et al. unpublished,0-15 ,2000,2.0,2247.69,2380.92,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2551.55,2328.91,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - N x Burn,Hungate et al. unpublished,0-15 ,2000,2.0,2359.16,2424.66,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2528.58,2226.42,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Water,Hungate et al. unpublished,0-15 ,2000,2.0,2292.48,2268.05,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2311.24,2085.06,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Water x Burn,Hungate et al. unpublished,0-15 ,2000,2.0,2393.88,2563.05,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2396.05,2300.64,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Water x N,Hungate et al. unpublished,0-15 ,2000,2.0,2192.73,2263.73,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2625.77,2442.0,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Water x N x Burn,Hungate et al. unpublished,0-15 ,2000,2.0,2251.41,2568.69,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2231.72,2385.45,4.0,4.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Heat,Hungate et al. unpublished,0-15 ,2000,2.0,2298.12,2294.91,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2385.45,2438.46,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Heat x N,Hungate et al. unpublished,0-15 ,2000,2.0,2287.78,2454.29,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2282.97,2449.06,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Heat x Water,Hungate et al. unpublished,0-15 ,2000,2.0,2326.8,2309.91,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2074.46,2413.72,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRGCE - Heat x Water x N,Hungate et al. unpublished,0-15 ,2000,2.0,2393.21,2453.48,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate et al. unpublished,0-15 ,2006,8.0,2109.8,2406.66,6.0,6.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merritt Island,Hungate unpublished,0-10 ,dec. 1996,0.62,1209.32,1335.02,8.0,8.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate unpublished,0-10 ,jun. 1998,2.09,1130.5,1220.06,8.0,8.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate unpublished,0-10 ,jul. 1998,2.17,1263.56,1291.72,8.0,8.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hungate unpublished,0-10 ,aug. 1998,2.31,1356.11,1280.82,8.0,8.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carney et al. 2007,0-10 ,nov. 1998,2.55,1733.9,1567.26,8.0,8.0,"fig. 1, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carney et al. 2007,0-10 ,sept. 1999,3.36,1781.74,1712.49,8.0,8.0,"fig. 1, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carney et al. 2007,0-10 ,mar. 2001,4.87,2191.17,1941.46,8.0,8.0,"fig. 1, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carney et al. 2007,0-10 ,may 2002,6.0,2099.47,1740.71,8.0,8.0,"fig. 1, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Langley et al. 2009,0-10 ,may 2002,6.0,1999.0,1628.0,8.0,8.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,McKinley et al. unpublished,0-10 ,may 2007,11.0,1512.0,1411.2,8.0,8.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewZealandFACE,Ross et al. 2004,0-5 ,may/oct. 1997,0.0,2685.0,2465.0,3.0,3.0,table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2004,0-5 ,may/oct. 1998,1.0,2650.0,2490.0,3.0,3.0,table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2004,0-5 ,may/oct. 1999,2.0,2655.0,2525.0,3.0,3.0,table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2004,0-5 ,may/oct. 2000,3.0,2675.0,2565.0,3.0,3.0,table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2004,0-5 ,may/oct. 2001,4.0,2515.0,2445.0,3.0,3.0,table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2004,0-5 ,may/oct. 2002,5.0,2585.0,2490.0,3.0,3.0,table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2013,0-5 ,may/oct. 2003,6.0,2518.75,2509.82,3.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2013,0-5 ,may/oct. 2004,7.0,2599.11,2534.38,3.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2013,0-5 ,may/oct. 2005,8.0,2659.38,2659.38,3.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2013,0-5 ,may/oct. 2006,9.0,2657.14,2721.88,3.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2013,0-5 ,may/oct. 2007,10.0,2721.88,2822.32,3.0,3.0,fig. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand Greenhouse,Ross et al. 1995,0-5 ,-,0.0,2112.24,2122.45,1.0,1.0,fig. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 1995,0-5 ,-,0.25,2122.45,2142.86,1.0,1.0,fig. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 1995,0-5 ,-,0.5,1969.39,1979.59,1.0,1.0,fig. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 1995,0-5 ,-,0.75,1969.39,2000.0,1.0,1.0,fig. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand OTC - P. radiata,Ross et al. 2006,0-10 ,apr.1994,0.0,100.0,100.0,2.0,2.0,fig. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2006,0-10 ,mar. 2000,6.0,411.69,529.87,2.0,2.0,fig. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand OTC - N. fusca,Ross et al. 2006,0-10 ,apr.1994,0.0,100.0,100.0,3.0,3.0,fig. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ross et al. 2006,0-10 ,mar. 2000,6.0,2402.77,3401.62,3.0,3.0,fig. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORNL FACE,Jastrow et al. 2005,0-15 ,oct. 1997,0.0,2671.73,2791.1,3.0,2.0,fig. 1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jastrow et al. 2005,0-15 ,nov. 2000,2.42,2784.82,2866.49,3.0,2.0,fig. 1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jastrow et al. 2005,0-15 ,oct. 2002,4.33,2730.37,2990.89,3.0,2.0,fig. 1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iversen et al. 2012,0-15 ,june 2009,11.0,3370.0,3850.0,3.0,2.0,tab. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placerville - low N,Johnson et al. 2006,0-30 ,mar. 1991,0.0,8400.0,8000.0,3.0,3.0,fig. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johnson et al. 2006,0-30 ,mar. 1993,1.75,7600.0,7600.0,3.0,3.0,fig. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johnson et al. 2006,0-30 ,sept. 1996,5.5,7400.0,7600.0,3.0,3.0,fig. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placerville - medium N,Johnson et al. 2006,0-30 ,mar. 1991,0.0,7800.0,7900.0,3.0,3.0,fig. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johnson et al. 2006,0-30 ,mar. 1993,1.75,7700.0,7800.0,3.0,3.0,fig. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johnson et al. 2006,0-30 ,sept. 1996,5.5,7400.0,8300.0,3.0,3.0,fig. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placerville - high N,Johnson et al. 2006,0-30 ,mar. 1991,0.0,8100.0,7500.0,3.0,3.0,fig. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johnson et al. 2006,0-30 ,mar. 1993,1.75,7500.0,8500.0,3.0,3.0,fig. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johnson et al. 2006,0-30 ,sept. 1996,5.5,7400.0,8100.0,3.0,3.0,fig. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POPFACE - alba,Hoosbeek et al. 2009,0-10 ,oct. 1999,0.0,1319.77,1128.03,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2000,1.0,1364.52,1195.06,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2001,2.0,1524.41,1295.05,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2003,4.0,1629.38,1377.49,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2004,5.0,1646.93,1479.64,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POPFACE - euramericana,Hoosbeek et al. 2009,0-10 ,oct. 1999,0.0,1251.8,1165.23,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2000,1.0,1429.22,1213.33,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2001,2.0,1405.21,1084.26,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2003,4.0,1634.56,1431.26,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2004,5.0,1686.11,1370.24,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POPFACE - nigra,Hoosbeek et al. 2009,0-10 ,oct. 1999,0.0,1379.45,1149.25,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2000,1.0,1457.8,1169.03,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2001,2.0,1534.11,1111.62,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2003,4.0,1518.41,1246.47,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hoosbeek et al. 2009,0-10 ,oct. 2004,5.0,1508.72,1343.95,3.0,3.0,"fig. 5, pers. comm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shortgrass prairie,Pendall et al. 2004,0-5 ,nov. 1995,0.0,617.0,645.0,3.0,3.0,appendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pendall et al. 2004,0-5 ,end growing season  1997,1.0,527.0,542.0,3.0,3.0,appendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pendall et al. 2004,0-5 ,end growing season  1998,2.0,488.0,522.0,3.0,3.0,appendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pendall et al. 2004,0-5 ,end growing season  1999,3.0,618.0,616.0,3.0,3.0,appendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pendall et al. 2004,0-5 ,end growing season  2000,4.0,603.0,593.0,3.0,3.0,appendix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoyFACE,Moran and Jastrow 2010,0-12.5 ,spring 2001,0.0,4802.88,4141.98,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moran and Jastrow 2010,0-12.5 ,spring 2006,5.0,4671.12,4099.97,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moran and Jastrow 2010,0-12.5 ,spring 2007,6.0,4437.47,3836.17,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwissFACE- grass - low N,Van Kessel et al. 2006,0-10 ,may 1995,2.0,2878.48,2861.72,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Van Kessel et al. 2006,0-10 ,may 1996,3.0,2796.0,3584.0,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Van Kessel et al. 2006,0-10 ,may 1997,4.0,2854.82,2790.49,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Van Kessel et al. 2006,0-10 ,may 1998,5.0,3304.6,3368.17,3.0,3.0,pers. comm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
